ESCO,ISCO08
265417,2654
81214,8121
7543103,7543
31551,3155
24319,2431
32122,3212
311611,3116
53122,5312
22642,2264
2310130,2310
816039,8160
816046,8160
1420442,1420
524921,5249
216542,2165
22632,2263
72338,7233
83311,8331
13243222,1324
2422128,2422
343411,3434
813115,8131
134515,1345
3123113,3123
21498,2149
33153,3315
1223211,1223
813114,8131
214951,2149
34122,3412
73186,7318
71224,7122
1420438,1420
14397,1439
61231,6123
33422,3342
31344,3134
815315,8153
81223,8122
62213,6221
72238,7223
14113,1411
731611,7316
21531,2153
235211,2352
1321221,1321
712612,7126
132431611,1324
235216,2352
143112,1431
1321218,1321
821111,8211
214611,2146
142044,1420
5223721,5223
23411,2341
83312,8331
312232,3122
432115,4321
33431,3343
816022,8160
33441,3344
25296,2529
312311,3123
22693,2269
81146,8114
311517,3115
12211,1221
25122,2512
121111,1211
121952,1219
242214,2422
74227,7422
52421,5242
2320117,2320
331132,3311
311511,3115
817253,8172
312312,3123
71121,7112
75114,7511
26324,2632
352114,3521
5223716,5223
132212,1322
31173,3117
81513,8151
71223,7122
3119166,3119
75161,7516
81228,8122
24236,2423
21201,2120
216611,2166
265312,2653
74121,7412
2163132,2163
11205,1120
75323,7532
11126,1112
331221,3312
3123117,3123
241314,2413
26532,2653
753621,7536
26121,2612
216317,2163
73222,7322
21497,2149
251117,2511
211213,2112
26593,2659
143125,1431
34211,3421
22508,2250
34354,3435
31194,3119
121351,1213
25132,2513
712614,7126
26353271,2635
332321,3323
2310114,2310
52232,5223
51411,5141
26512,2651
26563,2656
342242,3422
3112151,3112
411011,4110
753626,7536
531114,5311
3324427,3324
721431,7214
73126,7312
81598,8159
25196,2519
72213,7221
81437,8143
225042,2250
72322,7232
342241,3422
51641,5164
52236,5223
1109,1100
22504,2250
32582,3258
71152,7115
72334,7233
24242,2424
2144121,2144
2310125,2310
42231,4223
32561,3256
741311,7413
34233,3423
83222,8322
25292,2529
215215,2152
1420440,1420
1324321,1324
214914,2149
432319,4323
26331,2633
25297,2529
1321211,1321
263532,2635
13242,1324
233019,2330
81311,8131
622111,6221
31118,3111
21131,2113
522371,5223
3521110,3521
81571,8157
31411,3141
81319,8131
26561,2656
31231,3123
12213,1221
33416,3341
72231,7223
265231,2652
312247,3122
214997,2149
311416,3114
83435,8343
72314,7231
241263,2412
52441,5244
61291,6129
11116,1111
3435151,3435
26363,2636
3115118,3115
33345,3334
31121,3112
34115,3411
216318,2163
226211,2262
712613,7126
72232,7223
814116,8141
816011,8160
34341,3434
21317,2131
25194,2519
731311,7313
23522,2352
25115,2511
25197,2519
815122,8151
13221,1322
325411,3254
2310142,2310
12197,1219
5223733,5223
235213,2352
24333,2433
34224,3422
2310138,2310
21668,2166
3115116,3115
511311,5113
22692,2269
211314,2113
21337,2133
26326,2632
512014,5120
73111,7311
31196,3119
13243220,1324
81606,8160
814118,8141
721111,7211
35122,3512
522376,5223
313135,3131
54194,5419
72222,7222
83122,8312
263121,2631
12192,1219
3112113,3112
243261,2432
24325,2432
53221,5322
31225,3122
132431627,1324
42251,4225
26522,2652
522378,5223
134519,1345
33221,3322
821236,8212
432111,4321
143123,1431
122321,1223
73141,7314
32521,3252
61213,6121
753627,7536
81591,8159
71311,7131
25215,2521
72315,7231
74217,7421
91211,9121
324021,3240
73112,7311
516412,5164
33141,3314
26194,2619
813124,8131
24343,2434
12213213,1221
722316,7223
815621,8156
313133,3131
3119165,3119
3122414,3122
2144123,2144
815624,8156
32591,3259
816049,8160
213144,2131
3324418,3324
13243216,1324
83413,8341
211416,2114
81832,8183
72122,7212
82121,8212
2320115,2320
51531,5153
75327,7532
82191,8219
722341,7223
311112,3111
21203,2120
263537,2635
43221,4322
26531,2653
72232,7223
815212,8152
3123125,3123
241313,2413
83504,8350
22213,2221
71191,7119
3123115,3123
111231,1112
75324,7532
51427,5142
81316,8131
1420417,1420
731231,7312
721523,7215
263212,2632
2635310,2635
26436,2643
311911,3119
72132,7213
242216,2422
82113,8211
265418,2654
33122,3312
91125,9112
73116,7311
92142,9214
343522,3435
75121,7512
31327,3132
2330118,2330
241117,2411
42292,4229
211312,2113
33322,3332
1420430,1420
32576,3257
31322,3132
81562,8156
61141,6114
81541,8154
83412,8341
21661,2166
83325,8332
343523,3435
2310128,2310
83429,8342
214214,2142
61302,6130
754373,7543
214416,2144
25112,2511
25293,2529
812212,8122
12136,1213
21121,2112
143126,1431
311831,3118
541111,5411
75352,7535
753612,7536
74214,7421
265922,2659
334313,3343
73192,7319
226331,2263
722342,7223
216311,2163
33395,3339
12213214,1221
2103,2100
83434,8343
311837,3118
241311,2413
722348,7223
81607,8160
3123118,3123
83321,8332
23553,2355
51642,5164
13243213,1324
53124,5312
34126,3412
96296,9629
83433,8343
331131,3311
91292,9129
341246,3412
43121,4312
31421,3142
1321222,1321
214922,2149
214418,2144
11123,1112
61125,6112
31523,3152
214992,2149
215112,2151
312237,3122
26322,2632
33396,3339
75412,7541
23594,2359
92163,9216
24213,2421
81561,8156
24234,2423
312314,3123
134922,1349
611221,6112
71252,7125
311417,3114
51521,5152
31343,3134
817254,8172
242111,2421
83125,8312
815511,8155
81318,8131
33394,3339
243116,2431
75441,7544
24124,2412
235913,2359
931216,9312
81542,8154
82197,8219
343513,3435
265921,2659
754374,7543
25117,2511
41311,4131
722313,7223
33151,3315
34231,3423
313311,3133
813122,8131
352119,3521
312111,3121
31126,3112
132431613,1324
91123,9112
732111,7321
26432,2643
72336,7233
723314,7233
23598,2359
251241,2512
2152114,2152
814117,8141
13243168,1324
62231,6223
241261,2412
93291,9329
2144120,2144
26195,2619
71155,7115
83328,8332
82196,8219
132431625,1324
72313,7231
134916,1349
75361,7536
324024,3240
311912,3119
311836,3118
81211,8121
75436,7543
21651,2165
2131411,2131
25114,2511
516513,5165
81424,8142
96294,9629
432316,4323
511312,5113
26551,2655
13212162,1321
11011,1100
72319,7231
42122,4212
5164211,5164
75124,7512
5223711,5223
72337,7233
721521,7215
2642110,2642
2642113,2642
311418,3114
62221,6222
24132,2413
25291,2529
31141,3114
432312,4323
31534,3153
335951,3359
233018,2330
214651,2146
81436,8143
265923,2659
24221214,2422
213313,2133
32401,3240
75334,7533
816014,8160
81592,8159
42218,4221
75432,7543
211211,2112
75325,7532
8131191,8131
132431619,1324
342243,3422
33232,3323
33433,3343
61216,6121
3123119,3123
71151,7115
816015,8160
34357,3435
81134,8113
72221,7222
214212,2142
723315,7233
75421,7542
3118310,3118
132431612,1324
73113,7311
11125,1112
341243,3412
33241,3324
142045,1420
81522,8152
51646,5164
3123122,3123
32577,3257
754391,7543
233015,2330
134512,1345
52301,5230
311414,3114
96231,9623
81835,8183
524922,5249
25116,2511
21411,2141
51652,5165
134514,1345
314124,3141
33531,3353
13498,1349
93321,9332
81594,8159
26191,2619
81821,8182
34353,3435
1420443,1420
312248,3122
12138,1213
42142,4214
12214,1221
51421,5142
243361,2433
72133,7213
5131223,5131
71157,7115
223021,2230
3324411,3324
23592,2359
54199,5419
83501,8350
92161,9216
3123114,3123
21318,2131
522374,5223
312316,3123
14203,1420
818132,8181
251422,2514
91212,9121
3324412,3324
74221,7422
73233,7323
2141422,2141
265414,2654
132434,1324
51321,5132
42121,4212
13494,1349
81141,8114
722319,7223
721233,7212
42111,4211
231017,2310
32221,3222
54197,5419
754381,7543
75143,7514
91122,9112
3115115,3115
311415,3114
2310113,2310
343571,3435
432114,4321
311834,3118
265411,2654
214927,2149
33411,3341
813112,8131
12111,1211
81315,8131
82125,8212
1321216,1321
54141,5414
26197,2619
324022,3240
314123,3141
51613,5161
432112,4321
33312135,3331
62211,6221
3331212,3331
214311,2143
816052,8160
311214,3112
311919,3119
32523,3252
324023,3240
33123,3312
73227,7322
54132,5413
72341,7234
741111,7411
34131,3413
33312122,3331
22694,2269
143121,1431
251971,2519
31113,3111
31511,3151
53111,5311
815231,8152
311833,3118
422611,4226
1345110,1345
25121,2512
816021,8160
8131192,8131
216315,2163
34324,3432
75116,7511
21331,2133
815121,8151
13245,1324
71156,7115
261211,2612
251111,2511
2431104,2431
73184,7318
754383,7543
31161,3116
33323,3332
2149112,2149
2152111,2152
332448,3324
2330117,2330
3104,3100
34326,3432
74224,7422
75122,7512
431221,4312
352118,3521
22211,2221
311832,3118
216614,2166
81112,8111
816023,8160
754392,7543
81716,8171
92111,9211
541419,5414
26511,2651
731313,7313
81605,8160
26221,2622
132482,1324
33596,3359
44111,4411
2320113,2320
75111,7511
312234,3122
13243165,1324
7543102,7543
3118311,3118
2422122,2422
52231,5223
311519,3115
33552,3355
34225,3422
311412,3114
24126,2412
515311,5153
52492,5249
26311,2631
342324,3423
33312,3331
5223728,5223
96293,9629
33312114,3331
33542,3354
2320119,2320
813119,8131
24222,2422
833111,8331
522373,5223
83506,8350
14206,1420
73162,7316
23102,2310
813118,8131
75431,7543
722345,7223
142049,1420
93311,9331
33244,3324
33398,3339
33312116,3331
263261,2632
1321212,1321
21324,2132
21642,2164
25193,2519
2635314,2635
342231,3422
81604,8160
72318,7231
265432,2654
331135,3311
234111,2341
75235,7523
81221,8122
311917,3119
1420420,1420
12191,1219
73125,7312
31541,3154
2310143,2310
816013,8160
216316,2163
96212,9621
52493,5249
13309,1330
311515,3115
33551,3355
235911,2359
25214,2521
3331213,3331
226994,2269
2310112,2310
75151,7515
815711,8157
93331,9333
12123,1212
81551,8155
214928,2149
232016,2320
211212,2112
71261,7126
81563,8156
121114,1211
24326,2432
82122,8212
31321,3132
342323,3423
35124,3512
34223,3422
81124,8112
3324417,3324
331122,3311
33312113,3331
52302,5230
214218,2142
31123,3112
13491,1349
3118313,3118
531113,5311
2131413,2131
21462,2146
24227,2422
753623,7536
5223710,5223
3112112,3112
26199,2619
11112,1111
31224,3122
21463,2146
753622,7536
34355,3435
81711,8171
243113,2431
31191,3119
73161,7316
71231,7123
52451,5245
81131,8113
31124,3112
311915,3119
753432,7534
122131,1221
81114,8111
83424,8342
33331,3333
13243227,1324
33435,3343
214998,2149
3115121,3115
26516,2651
71334,7133
1324327,1324
817252,8172
3122411,3122
83427,8342
75131,7513
216541,2165
81811,8181
325751,3257
75433,7543
96211,9621
26323,2632
311514,3115
21641,2164
81819,8181
13243162,1324
75211,7521
14395,1439
121113,1211
13491,1349
83322,8332
265211,2652
81111,8111
25231,2523
1321217,1321
61301,6130
232012,2320
3122413,3122
25141,2514
235611,2356
13463,1346
3119163,3119
71262,7126
2320110,2320
32301,3230
142043,1420
516511,5165
81139,8113
42291,4229
23555,2355
2320116,2320
93121,9312
315324,3153
91293,9129
24311,2431
24312,2431
2310121,2310
31341,3134
31311,3131
1420427,1420
83422,8342
21464,2146
352113,3521
2431103,2431
34312,3431
81891,8189
3324428,3324
215214,2152
14112,1411
51428,5142
751111,7511
21663,2166
815123,8151
2310110,2310
74211,7421
74111,7411
21204,2120
132431632,1324
51425,5142
332131,3321
214517,2145
513122,5131
73231,7323
26433,2643
143124,1431
43236,4323
22691,2269
81814,8181
52462,5246
243363,2433
812211,8122
81113,8111
815626,8156
13422,1342
81428,8142
214911,2149
33521,3352
2101,2100
213181,2131
81421,8142
5164212,5164
72311,7231
5223730,5223
243112,2431
26353,2635
5223720,5223
134913,1349
25118,2511
3122415,3122
81715,8171
81224,8122
214514,2145
33243,3324
211418,2114
31116,3111
331134,3311
2635326,2635
315411,3154
2149101,2149
112031,1120
26411,2641
13243225,1324
263531,2635
332211,3322
241264,2412
81514,8151
341245,3412
311217,3112
24228,2422
54198,5419
2642111,2642
81115,8111
22507,2250
31181,3118
352111,3521
53121,5312
21521,2152
265415,2654
214412,2144
232015,2320
33532,3353
3412410,3412
21494,2149
522379,5223
3423121,3423
514111,5141
2144116,2144
34332,3433
241114,2411
5249217,5249
23595,2359
231013,2310
1324314,1324
2320124,2320
122211,1222
24121,2412
343241,3432
96121,9612
341247,3412
26591,2659
214652,2146
22697,2269
71222,7122
265412,2654
121322,1213
2152115,2152
263422,2634
81229,8122
73226,7322
26333,2633
34125,3412
13121,1312
31412,3141
31392,3139
321431,3214
75223,7522
81427,8142
96131,9613
33595,3359
3412412,3412
24121,2412
754411,7544
42141,4214
251972,2519
3435254,3435
2422126,2422
31129,3112
44121,4412
75326,7532
75335,7533
13213,1321
311312,3113
5223719,5223
24215,2421
2642117,2642
32141,3214
21621,2162
3153221,3153
315322,3153
13411,1341
31351,3135
5223735,5223
34231221,3423
26543,2654
82124,8212
132431622,1324
251974,2519
26342,2634
216631,2166
243365,2433
721113,7211
81593,8159
71266,7126
311914,3119
81564,8156
723313,7233
2262122,2262
14111,1411
21414,2141
815314,8153
134518,1345
132431628,1324
513121,5131
2310117,2310
12135,1213
121954,1219
52237,5223
44191,4419
73211,7321
211316,2113
211415,2114
214915,2149
81601,8160
3105,3100
43238,4323
22509,2250
75312,7531
2310131,2310
3423122,3423
334312,3343
264341,2643
23421,2342
213146,2131
514112,5141
5249215,5249
43231,4323
711311,7113
83507,8350
5223715,5223
263122,2631
26542,2654
33313,3331
2330116,2330
26351,2635
26412,2641
72134,7213
61212,6121
211311,2113
1420426,1420
1420429,1420
33421,3342
31192,3119
21441,2144
54121,5412
83323,8332
21111,2111
32111,3211
214217,2142
251421,2514
24342,2434
81213,8121
312319,3123
12137,1213
33412,3341
2431102,2431
515313,5153
214925,2149
3324422,3324
215111,2151
34221,3422
51112,5111
75221,7522
35131,3513
2320111,2320
82193,8219
13464,1346
13123,1312
2144117,2144
21336,2133
72335,7233
82199,8219
2310133,2310
81512,8151
235914,2359
2411112,2411
23532,2353
71111,7111
34352,3435
31197,3119
81833,8183
3435253,3435
83123,8312
23512,2351
332449,3324
75226,7522
2144114,2144
75411,7541
34222,3422
33393,3339
264143,2641
516411,5164
341248,3412
72312,7231
41201,4120
2310141,2310
61122,6112
723312,7233
81312,8131
2330113,2330
13243235,1324
73221,7322
42216,4221
312243,3122
11115,1111
22503,2250
814114,8141
72234,7223
31211,3121
43112,4311
81811,8181
11127,1112
14394,1439
13243223,1324
334316,3343
134411,1344
74123,7412
24231,2423
815232,8152
722315,7223
81137,8113
33443,3344
24221211,2422
263512,2635
81602,8160
7411111,7411
51424,5142
7411112,7411
34114,3411
73174,7317
33121,3312
81723,8172
241118,2411
72339,7233
72131,7213
53292,5329
23301,2330
226982,2269
33511,3351
263311,2633
251975,2519
73143,7314
83426,8342
1420434,1420
75162,7516
71251,7125
2262121,2262
13304,1330
21466,2146
231016,2310
2422123,2422
95101,9510
265431,2654
24211,2421
5249212,5249
34331,3433
142042,1420
2310115,2310
14311,1431
215212,2152
722321,7223
33113,3311
3123126,3123
26222,2622
24226,2422
81123,8112
52303,5230
213148,2131
21418,2141
223022,2230
73221,7322
741212,7412
73131,7313
132431629,1324
333121,3331
75431,7543
265925,2659
432317,4323
1223213,1223
325211,3252
33312125,3331
51641,5164
81132,8113
235214,2352
31222,3122
31121,3112
13243166,1324
311211,3112
33513,3351
342246,3422
311835,3118
21469,2146
816019,8160
722344,7223
42131,4213
3114110,3114
132431,1324
211414,2114
41321,4132
13243234,1324
522375,5223
13212,1321
24225,2422
33312118,3331
31522,3152
1321214,1321
73151,7315
13492,1349
81605,8160
35132,3513
12132,1213
32581,3258
3324420,3324
1321223,1321
235912,2359
21453,2145
82123,8212
43234,4323
311613,3116
265232,2652
241211,2412
51642111,5164
81433,8143
92124,9212
1324329,1324
24223,2422
92122,9212
3324415,3324
1420421,1420
34132,3413
231014,2310
34311,3431
74122,7412
333222,3332
3412413,3412
261911,2619
31115,3111
722311,7223
32593,3259
81122,8112
3123121,3123
243111,2431
335321,3353
81609,8160
731317,7313
32575,3257
132431631,1324
82195,8219
342312,3423
816038,8160
12195,1219
214141,2141
21634,2163
81813,8181
422311,4223
23101,2310
754372,7543
32595,3259
21313,2131
2320120,2320
213141,2131
21315,2131
1420412,1420
26216,2621
72143,7214
83411,8341
21669,2166
753434,7534
91121,9112
21331,2133
75142,7514
5223725,5223
263533,2635
511122,5111
24212,2421
213311,2133
312315,3123
2635315,2635
42112,4211
2635321,2635
33413,3341
14392,1439
23599,2359
51611,5161
2320122,2320
72333,7233
2422129,2422
265413,2654
3324429,3324
75113,7511
11203,1120
33594,3359
41101,4110
122212,1222
8141192,8141
263211,2632
12216,1221
31514,3151
11114,1111
72151,7215
24235,2423
731612,7316
31122,3112
26364,2636
51522,5152
72121,7212
21633,2163
313138,3131
81521,8152
13499,1349
81215,8121
213142,2131
32541,3254
815623,8156
816012,8160
814214,8142
23593,2359
342311,3423
54131,5413
24344,2434
25144,2514
33417,3341
3324430,3324
42242,4224
43232,4323
13243231,1324
1420435,1420
251112,2511
931215,9312
313312,3133
3122412,3122
71261,7126
83227,8322
75227,7522
81596,8159
332447,3324
214924,2149
122132,1221
75141,7514
352112,3521
42127,4212
53293,5329
214917,2149
51645,5164
741312,7413
81604,8160
25191,2519
816031,8160
2642116,2642
81726,8172
42211,4221
33591,3359
21512,2151
81322,8132
34352,3435
821231,8212
81438,8143
522377,5223
341181,3411
3123110,3123
22111,2211
5223731,5223
11111,1111
816035,8160
31313,3131
51423,5142
24316,2431
71264,7126
21205,2120
24128,2412
81713,8171
22631,2263
2642114,2642
23556,2355
73185,7318
1324316,1324
33312129,3331
73122,7312
816043,8160
91124,9112
251973,2519
75332,7533
81434,8143
52235,5223
72231,7223
2320118,2320
81822,8182
2635316,2635
122311,1223
11206,1120
73132,7313
132431614,1324
11117,1111
12232,1223
82191,8219
1324311,1324
712611,7126
34321,3432
313131,3131
71321,7132
311918,3119
515221,5152
43235,4323
75437,7543
22301,2230
13461,1346
26213,2621
3112110,3112
21461,2146
26431,2643
263539,2635
741114,7411
74216,7421
71267,7126
1420425,1420
75321,7532
22698,2269
514212,5142
35211,3521
81217,8121
26193,2619
82114,8211
1106,1100
25192,2519
23423,2342
21496,2149
32142,3214
265926,2659
25294,2529
731314,7313
22672,2267
14312,1431
34118,3411
511231,5112
81425,8142
5223712,5223
92151,9215
343211,3432
31111,3111
25298,2529
342245,3422
2149121,2149
261912,2619
75233,7523
722324,7223
215113,2151
216313,2163
73228,7322
24229,2422
21664,2166
81311,8131
311921,3119
42271,4227
1324341,1324
821153,8211
13246,1324
22633,2263
3324433,3324
226993,2269
2411111,2411
816029,8160
53112,5311
2310129,2310
3412411,3412
2511141,2511
931214,9312
352117,3521
1420423,1420
53123,5312
71271,7127
42217,4221
2144122,2144
12213212,1221
81138,8113
